gender,age,income,career,dec,attr,sinc,intel,fun,amb,shar,like,prob,met
0,25.0,51820.545454545456,Finance,0,9.0,7.0,9.0,7.0,9.0,7.0,8.0,7.0,1
0,25.0,51820.545454545456,Finance,0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,5.22648790058862,1
0,25.0,51820.545454545456,Finance,0,8.0,10.0,10.0,7.0,9.0,9.0,8.0,5.22648790058862,1
0,25.0,51820.545454545456,Finance,0,8.0,9.0,10.0,7.0,7.0,9.0,8.0,7.0,1
0,25.0,51820.545454545456,Finance,0,7.0,9.0,9.0,8.0,9.0,7.0,8.0,7.0,1
0,25.0,51820.545454545456,Finance,0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,1
0,25.0,51820.545454545456,Finance,0,8.0,7.0,9.0,7.0,9.0,7.0,8.0,7.0,1
0,23.0,37754.0,Legal,0,4.0,10.0,8.0,5.0,8.0,7.0,6.0,7.0,1
0,23.0,37754.0,Legal,0,8.0,7.0,8.0,10.0,7.0,8.0,8.0,1.0,1
0,23.0,37754.0,Legal,0,4.0,7.0,8.0,8.0,6.0,7.0,4.0,1.0,1
0,23.0,37754.0,Legal,1,8.0,10.0,7.0,10.0,7.0,10.0,8.0,10.0,1
0,23.0,37754.0,Legal,0,6.0,9.0,8.0,9.0,8.0,9.0,7.0,7.0,1
0,23.0,37754.0,Legal,0,5.0,10.0,8.0,4.0,8.0,2.0,4.0,3.0,1
0,23.0,37754.0,Legal,0,7.0,10.0,10.0,7.0,10.0,5.0,5.0,1.0,1
0,23.0,37754.0,Legal,0,5.0,9.0,9.0,5.0,9.0,7.0,6.0,6.0,1
0,23.0,37754.0,Legal,1,9.0,8.0,10.0,10.0,7.0,8.0,8.0,8.0,1
0,23.0,37754.0,Legal,1,8.0,9.0,10.0,10.0,8.0,8.0,10.0,8.0,1
0,23.0,60304.0,Legal,1,6.0,9.0,7.0,6.0,7.0,6.0,6.0,6.0,1
0,23.0,60304.0,Legal,1,6.0,9.0,9.0,6.0,8.0,2.0,7.0,6.0,1
0,23.0,60304.0,Legal,0,4.0,7.0,9.0,4.0,3.0,2.0,6.0,2.0,1
0,23.0,60304.0,Legal,1,8.0,6.0,7.0,8.0,2.0,8.0,9.0,4.0,1
0,23.0,60304.0,Legal,0,5.0,4.0,8.0,8.0,4.0,2.0,4.0,3.0,1
0,23.0,60304.0,Legal,1,8.0,8.0,8.0,8.0,3.0,4.0,8.0,7.0,1
0,23.0,60304.0,Legal,0,4.0,8.0,9.0,2.0,8.0,3.0,5.0,5.0,1
0,23.0,60304.0,Legal,1,7.0,6.0,8.0,8.0,6.0,9.0,9.0,6.0,1
0,23.0,60304.0,Legal,1,8.0,9.0,9.0,9.0,10.0,7.0,9.0,8.0,1
0,22.0,54620.0,Legal,0,4.0,8.0,8.0,5.0,7.0,4.0,7.0,4.0,1
0,22.0,54620.0,Legal,0,6.0,6.0,8.0,4.0,9.0,4.0,7.0,3.0,1
0,22.0,54620.0,Legal,0,3.0,6.0,8.0,7.0,8.0,8.0,7.0,8.0,1
0,22.0,54620.0,Legal,1,7.0,8.0,8.0,7.0,7.0,6.0,8.0,6.0,1
0,22.0,54620.0,Legal,0,4.0,7.0,7.0,4.0,8.0,5.0,5.0,6.0,1
0,22.0,54620.0,Legal,0,4.0,8.0,7.0,4.0,5.0,4.0,5.0,5.0,1
0,22.0,54620.0,Legal,1,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,1
0,22.0,54620.0,Legal,0,5.0,7.0,8.0,5.0,9.0,5.0,5.0,7.0,1
0,22.0,54620.0,Legal,1,6.0,6.0,8.0,8.0,8.0,6.0,6.0,6.0,1
0,22.0,54620.0,Legal,1,8.0,6.0,7.0,7.0,8.0,6.0,7.0,5.0,1
0,25.0,37788.5625,Arts,1,5.0,8.0,7.0,4.0,7.0,5.0,4.0,5.0,1
0,25.0,37788.5625,Arts,1,8.0,7.0,7.0,9.0,6.0,7.0,8.0,7.0,1
0,25.0,37788.5625,Arts,1,5.0,8.0,8.0,6.0,7.0,7.0,5.0,5.0,1
0,25.0,37788.5625,Arts,1,8.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,1
0,25.0,37788.5625,Arts,1,6.0,8.0,8.0,5.0,6.0,7.0,6.0,5.0,1
0,25.0,37788.5625,Arts,1,6.0,8.0,8.0,5.0,6.0,7.0,6.0,5.0,1
0,25.0,37788.5625,Arts,1,6.0,7.0,8.0,5.0,7.0,7.0,6.0,6.0,1
0,25.0,37788.5625,Arts,1,5.0,6.0,7.0,4.0,5.0,6.0,5.0,4.0,1
0,25.0,37788.5625,Arts,1,8.0,8.0,5.0,9.0,8.0,9.0,7.0,10.0,1
0,25.0,37788.5625,Arts,1,7.0,6.0,8.0,7.0,9.0,8.0,8.0,7.0,1
0,26.0,37788.5625,Arts,1,8.0,10.0,9.0,8.0,7.0,6.0,5.0,5.0,1
0,26.0,37788.5625,Arts,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,1
0,26.0,37788.5625,Arts,1,5.0,10.0,10.0,6.0,6.0,6.0,8.0,5.0,1
0,26.0,37788.5625,Arts,1,10.0,9.0,8.0,8.0,7.0,7.0,7.0,5.0,1
0,26.0,37788.5625,Arts,1,5.0,10.0,8.0,8.0,5.0,5.0,5.0,5.0,1
0,26.0,37788.5625,Arts,1,8.0,9.0,9.0,7.0,6.0,5.0,6.0,5.0,1
0,26.0,37788.5625,Arts,1,6.0,8.0,9.0,6.0,6.0,6.0,7.0,5.0,1
0,26.0,37788.5625,Arts,1,6.0,7.0,8.0,7.0,9.0,6.0,7.0,5.0,1
0,26.0,37788.5625,Arts,1,8.0,5.0,5.0,6.0,5.0,5.0,7.0,6.0,1
0,26.0,37788.5625,Arts,1,7.0,8.0,7.0,8.0,7.0,8.0,8.0,5.0,1
0,26.0,48652.0,Other,0,6.0,10.0,10.0,6.0,6.0,5.503191180736873,6.0,3.0,1
0,26.0,48652.0,Other,1,6.0,10.0,10.0,10.0,6.0,5.503191180736873,7.0,6.0,1
0,26.0,48652.0,Other,0,10.0,10.0,10.0,10.0,10.0,5.503191180736873,10.0,1.0,1
0,26.0,48652.0,Other,0,5.0,7.0,7.0,7.0,7.0,5.503191180736873,6.0,1.0,1
0,26.0,48652.0,Other,0,5.0,10.0,6.0,4.0,6.0,5.503191180736873,6.0,1.0,1
0,26.0,48652.0,Other,1,5.0,10.0,8.0,6.0,9.0,5.503191180736873,7.0,1.0,1
0,26.0,48652.0,Other,0,5.0,6.0,6.0,4.0,5.0,5.503191180736873,5.0,5.0,1
0,26.0,48652.0,Other,1,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1
0,26.0,48652.0,Other,1,9.0,9.0,8.0,10.0,8.0,8.0,9.0,10.0,1
1,27.0,48216.65298013245,Education,0,6.0,8.0,8.0,8.0,8.0,6.0,7.0,4.0,1
1,27.0,48216.65298013245,Education,0,8.0,7.0,6.0,9.0,7.0,4.0,7.0,2.0,1
1,27.0,48216.65298013245,Education,0,7.0,8.0,6.0,5.0,8.0,4.0,5.0,2.0,1
1,27.0,48216.65298013245,Education,0,6.0,7.0,8.0,7.0,7.0,5.0,6.0,3.0,1
1,27.0,48216.65298013245,Education,0,6.0,8.0,8.0,8.0,7.0,6.0,6.0,5.0,1
1,27.0,48216.65298013245,Education,0,7.0,9.0,8.0,9.0,8.0,4.0,7.0,4.0,1
1,27.0,48216.65298013245,Education,0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,4.0,1
1,27.0,48216.65298013245,Education,0,8.0,7.0,6.0,6.0,6.0,5.0,7.0,4.0,1
1,27.0,48216.65298013245,Education,0,6.0,8.0,7.0,8.0,7.0,5.0,6.0,4.0,1
1,27.0,48216.65298013245,Education,0,7.0,8.0,7.0,8.0,6.0,5.0,6.0,3.0,1
1,22.0,29237.0,Legal,0,7.0,8.0,10.0,7.0,7.0,5.0,8.0,4.0,1
1,22.0,29237.0,Legal,0,7.0,6.0,10.0,6.0,6.0,5.0,8.0,4.0,1
1,22.0,29237.0,Legal,0,6.0,7.0,10.0,6.0,6.0,5.0,7.0,3.0,1
1,22.0,29237.0,Legal,0,6.0,5.0,10.0,6.0,6.0,5.0,6.0,3.0,1
1,22.0,29237.0,Legal,0,6.0,7.0,10.0,7.0,6.0,5.0,7.0,4.0,1
1,22.0,29237.0,Legal,0,6.0,8.0,10.0,6.0,7.0,6.0,7.0,4.0,1
1,22.0,29237.0,Legal,1,7.0,9.0,10.0,6.0,6.0,5.0,8.0,4.0,1
1,22.0,29237.0,Legal,1,8.0,8.0,10.0,7.0,6.0,5.0,9.0,4.0,1
1,22.0,29237.0,Legal,1,8.0,8.0,10.0,7.0,6.0,5.0,8.0,4.0,1
1,22.0,45608.46367521367,Legal,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1
1,22.0,45608.46367521367,Legal,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1
1,22.0,45608.46367521367,Legal,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1
1,22.0,45608.46367521367,Legal,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1
1,22.0,45608.46367521367,Legal,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1
1,22.0,45608.46367521367,Legal,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1
1,22.0,45608.46367521367,Legal,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1
1,22.0,45608.46367521367,Legal,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1
1,22.0,45608.46367521367,Legal,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1
1,22.0,45608.46367521367,Legal,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1
1,23.0,56580.0,Legal,1,7.0,8.0,9.0,8.0,9.0,8.0,7.0,7.0,1
1,23.0,56580.0,Legal,1,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,1
1,23.0,56580.0,Legal,1,7.0,9.0,8.0,8.0,8.0,8.0,7.0,7.0,1
1,23.0,56580.0,Legal,1,7.0,7.0,7.0,9.0,9.0,9.0,8.0,10.0,1
1,23.0,56580.0,Legal,1,6.0,8.0,6.0,8.0,10.0,10.0,7.0,7.0,1
1,23.0,56580.0,Legal,1,6.0,8.0,8.0,7.0,9.0,8.0,7.0,7.0,1
1,23.0,56580.0,Legal,1,8.0,8.0,9.0,8.0,9.0,9.0,8.0,7.0,1
1,23.0,56580.0,Legal,1,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,1
1,23.0,56580.0,Legal,1,7.0,8.0,7.0,8.0,8.0,7.0,7.0,7.0,1
1,23.0,56580.0,Legal,1,7.0,8.0,7.0,9.0,8.0,8.0,7.0,7.0,1
1,24.0,36782.0,Legal,1,8.0,7.0,9.0,6.0,9.0,7.0,8.0,6.0,1
1,24.0,36782.0,Legal,1,10.0,10.0,10.0,10.0,7.0,8.0,10.0,1.0,1
1,24.0,36782.0,Legal,1,6.0,10.0,8.0,6.0,6.7824285122254455,5.503191180736873,6.0,1.0,1
1,24.0,36782.0,Legal,1,8.0,8.0,9.0,8.0,8.0,9.0,9.0,7.0,1
1,24.0,36782.0,Legal,0,5.0,9.0,9.0,7.0,9.0,5.0,5.0,7.0,1
1,24.0,36782.0,Legal,1,9.0,7.0,9.0,7.0,9.0,6.0,9.0,2.0,1
1,24.0,36782.0,Legal,1,8.0,7.0,9.0,6.0,9.0,5.0,8.0,4.0,1
1,24.0,36782.0,Legal,1,9.0,9.0,8.0,9.0,6.7824285122254455,7.0,9.0,7.0,1
1,24.0,36782.0,Legal,1,7.0,9.0,8.0,9.0,7.0,7.0,7.0,8.0,1
1,24.0,36782.0,Legal,1,6.0,9.0,9.0,7.0,8.0,5.503191180736873,6.0,6.0,1
1,25.0,39378.33185840708,Science,1,7.0,7.0,8.0,8.0,7.0,7.0,7.0,6.0,1
1,25.0,39378.33185840708,Science,1,7.0,8.0,7.0,5.0,7.0,7.0,7.0,5.0,1
1,25.0,39378.33185840708,Science,1,7.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,1
1,25.0,39378.33185840708,Science,1,6.0,6.0,7.0,7.0,8.0,7.0,6.0,6.0,1
1,25.0,39378.33185840708,Science,0,5.0,8.0,7.0,7.0,7.0,7.0,6.0,7.0,1
1,25.0,39378.33185840708,Science,1,6.0,6.0,8.0,8.0,8.0,7.0,6.0,6.0,1
1,25.0,39378.33185840708,Science,1,8.0,8.0,8.0,6.0,6.0,6.0,7.0,7.0,1
1,25.0,39378.33185840708,Science,1,8.0,7.0,7.0,7.0,8.0,7.0,7.0,6.0,1
1,25.0,39378.33185840708,Science,1,6.0,6.0,7.0,8.0,7.0,7.0,6.0,5.0,1
1,25.0,39378.33185840708,Science,0,6.196304909560724,8.0,7.0,7.0,7.0,7.0,6.0,6.0,1
1,30.0,38548.0,Education,0,3.0,6.0,7.0,5.0,8.0,7.0,2.0,1.0,1
1,30.0,38548.0,Education,0,5.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,1
1,30.0,38548.0,Education,0,6.0,3.0,5.0,4.0,5.0,4.0,2.0,2.0,1
1,30.0,38548.0,Education,1,7.0,6.0,3.0,5.0,6.0,5.0,6.0,4.0,1
1,30.0,38548.0,Education,0,2.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,1
1,30.0,38548.0,Education,0,5.0,6.0,8.0,4.0,5.0,4.0,3.0,3.0,1
1,30.0,38548.0,Education,0,7.0,6.0,5.0,4.0,4.0,3.0,5.0,4.0,1
1,30.0,38548.0,Education,0,6.0,4.0,7.0,5.0,6.0,4.0,4.0,4.0,1
1,30.0,38548.0,Education,1,8.0,6.0,7.0,8.0,6.0,5.0,8.0,4.0,1
1,30.0,38548.0,Education,0,7.0,7.0,4.0,3.0,4.0,4.0,3.0,6.0,1
1,27.0,52010.0,Finance,0,6.0,7.0,5.0,6.0,8.0,6.0,7.0,5.0,1
1,27.0,52010.0,Finance,1,7.0,7.0,7.0,7.0,7.0,5.0,7.0,6.0,1
1,27.0,52010.0,Finance,0,4.0,5.0,6.0,4.0,6.0,4.0,5.0,1.0,1
1,27.0,52010.0,Finance,0,6.0,7.0,8.0,6.0,6.0,5.0,7.0,7.0,1
1,27.0,52010.0,Finance,0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,1
1,27.0,52010.0,Finance,0,6.0,7.0,8.0,7.0,8.0,5.0,7.0,6.0,1
1,27.0,52010.0,Finance,1,8.0,7.0,6.0,7.0,7.0,5.0,7.0,5.0,1
1,27.0,52010.0,Finance,1,9.0,8.0,8.0,8.0,7.0,5.0,7.0,5.0,1
1,27.0,52010.0,Finance,0,7.0,7.0,7.0,7.0,6.0,5.0,7.0,5.0,1
1,27.0,52010.0,Finance,0,6.0,6.0,6.0,6.0,6.0,5.0,7.0,6.0,1
1,28.0,42414.7488372093,Engineering,1,7.0,7.0,8.0,8.0,8.0,9.0,6.5,8.0,1
1,28.0,42414.7488372093,Engineering,1,8.0,6.0,9.0,9.0,8.0,7.0,8.0,8.0,1
1,28.0,42414.7488372093,Engineering,1,7.0,7.0,6.0,8.0,7.0,7.0,7.0,7.0,1
1,28.0,42414.7488372093,Engineering,1,7.0,7.0,7.0,10.0,9.0,10.0,8.0,8.0,1
1,28.0,42414.7488372093,Engineering,1,5.0,9.0,9.0,9.0,9.0,6.0,7.0,7.0,1
1,28.0,42414.7488372093,Engineering,1,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,1
1,28.0,42414.7488372093,Engineering,1,9.0,7.0,9.0,9.0,9.0,10.0,9.0,9.0,1
1,28.0,42414.7488372093,Engineering,1,8.0,7.0,8.0,10.0,8.0,10.0,8.0,8.0,1
1,28.0,42414.7488372093,Engineering,1,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,1
1,28.0,42414.7488372093,Engineering,1,7.0,7.0,7.0,7.0,6.0,6.0,7.0,8.0,1
1,24.0,42414.7488372093,Engineering,0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1
1,24.0,42414.7488372093,Engineering,0,6.0,5.0,7.0,7.0,9.0,7.0,6.0,9.0,1
1,24.0,42414.7488372093,Engineering,0,5.0,6.0,8.0,5.0,8.0,6.0,5.0,5.0,1
1,24.0,42414.7488372093,Engineering,0,7.0,8.0,8.0,7.0,8.0,7.0,7.0,7.0,1
1,24.0,42414.7488372093,Engineering,0,3.0,10.0,7.0,7.0,10.0,5.0,4.0,10.0,1
1,24.0,42414.7488372093,Engineering,0,7.0,10.0,10.0,6.0,10.0,7.0,6.0,7.0,1
1,24.0,42414.7488372093,Engineering,0,7.0,6.0,8.0,6.0,8.0,7.0,7.0,7.0,1
1,24.0,42414.7488372093,Engineering,1,8.0,10.0,9.0,9.0,8.0,8.0,8.0,8.0,1
1,24.0,42414.7488372093,Engineering,0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1
1,24.0,42414.7488372093,Engineering,0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,1
0,27.0,28418.0,Engineering,0,5.0,7.0,7.0,6.0,7.0,5.0,6.0,4.0,1
0,27.0,28418.0,Engineering,0,4.0,7.0,6.0,6.0,7.0,2.0,3.0,3.0,1
0,27.0,28418.0,Engineering,0,5.0,6.0,6.0,5.0,6.0,3.0,3.0,2.0,1
0,27.0,28418.0,Engineering,0,5.0,7.0,7.0,5.0,7.0,3.0,4.0,3.0,1
0,27.0,28418.0,Engineering,1,6.0,8.0,8.0,7.0,7.0,6.0,6.0,6.0,1
0,27.0,28418.0,Engineering,1,6.0,7.0,7.0,4.0,6.0,6.0,6.0,6.0,1
0,27.0,28418.0,Engineering,1,8.0,7.0,7.0,7.0,6.0,7.0,7.0,4.0,1
0,27.0,28418.0,Engineering,0,5.0,7.0,7.0,6.0,6.0,5.0,5.0,4.0,1
0,27.0,28418.0,Engineering,1,7.0,7.0,7.0,7.0,7.0,6.0,7.0,4.0,1
0,27.0,28418.0,Engineering,0,6.0,7.0,7.0,5.0,7.0,4.0,5.0,3.0,1
0,27.0,28418.0,Engineering,1,5.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,1
0,27.0,28418.0,Engineering,0,3.0,4.0,5.0,4.0,4.0,2.0,2.0,1.0,1
0,27.0,28418.0,Engineering,0,3.0,6.0,7.0,5.0,5.0,4.0,2.0,2.0,1
0,27.0,28418.0,Engineering,1,7.0,7.0,8.0,6.0,7.0,8.0,8.0,5.0,1
0,27.0,28418.0,Engineering,0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,2.0,1
0,27.0,28418.0,Engineering,1,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,1
0,21.0,42796.631097560974,Social Work,1,5.0,7.0,6.0,6.0,6.0,7.0,8.0,6.0,1
0,21.0,42796.631097560974,Social Work,0,5.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0,1
0,21.0,42796.631097560974,Social Work,1,6.0,6.0,7.0,6.0,6.0,6.0,6.5,5.0,1
0,21.0,42796.631097560974,Social Work,1,5.0,7.0,8.0,6.0,6.0,7.0,7.0,6.0,1
0,21.0,42796.631097560974,Social Work,1,7.0,7.0,7.0,6.0,6.0,9.0,9.0,10.0,1
0,21.0,42796.631097560974,Social Work,1,6.0,7.0,7.0,6.0,7.0,5.0,7.0,5.0,1
0,21.0,42796.631097560974,Social Work,1,7.0,6.0,7.0,7.0,7.0,6.0,7.0,5.0,1
0,21.0,42796.631097560974,Social Work,0,5.0,6.0,7.0,6.0,6.0,6.0,6.0,5.0,1
0,21.0,42796.631097560974,Social Work,0,6.0,6.0,6.0,8.0,6.0,5.0,6.0,5.0,1
0,21.0,42796.631097560974,Social Work,1,7.0,7.0,6.0,7.0,6.0,7.0,8.0,6.0,1
0,21.0,42796.631097560974,Social Work,1,6.0,6.0,7.0,8.0,8.0,7.0,7.0,5.0,1
0,21.0,42796.631097560974,Social Work,0,7.0,6.0,5.0,4.0,4.0,4.0,6.0,4.0,1
0,21.0,42796.631097560974,Social Work,0,6.0,6.0,5.0,7.0,5.0,6.0,6.0,5.0,1
0,21.0,42796.631097560974,Social Work,0,6.196304909560724,7.173581213307241,7.370031380753138,6.412024232846043,6.7824285122254455,5.503191180736873,6.147527579493834,5.22648790058862,1
0,21.0,42796.631097560974,Social Work,0,6.0,7.0,6.0,6.0,5.0,5.0,6.0,4.0,1
0,21.0,42796.631097560974,Social Work,0,6.0,8.0,7.0,6.0,7.0,5.0,6.0,5.0,1
0,27.0,43185.0,Healthcare,0,5.0,6.0,7.0,7.0,7.0,5.503191180736873,6.0,3.0,1
0,27.0,43185.0,Healthcare,0,7.0,8.0,7.370031380753138,6.412024232846043,8.0,5.503191180736873,8.0,4.0,1
0,27.0,43185.0,Healthcare,0,6.0,8.0,7.370031380753138,7.0,6.7824285122254455,5.503191180736873,7.0,5.0,1
0,27.0,43185.0,Healthcare,0,7.0,8.0,8.0,8.0,6.7824285122254455,5.503191180736873,7.0,5.0,1
0,27.0,43185.0,Healthcare,0,5.0,8.0,8.0,6.412024232846043,8.0,6.0,7.0,7.0,1
0,27.0,43185.0,Healthcare,0,7.0,7.0,8.0,6.412024232846043,8.0,5.503191180736873,8.0,6.0,1
0,27.0,43185.0,Healthcare,1,9.0,8.0,7.0,8.0,6.7824285122254455,8.0,8.0,7.0,1
0,27.0,43185.0,Healthcare,0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1
0,27.0,43185.0,Healthcare,0,7.0,7.0,7.0,8.0,7.0,5.503191180736873,7.0,6.0,1
0,27.0,43185.0,Healthcare,0,6.0,7.173581213307241,7.370031380753138,8.0,6.7824285122254455,6.0,6.0,5.0,1
0,27.0,43185.0,Healthcare,0,6.0,8.0,7.370031380753138,8.0,6.7824285122254455,5.503191180736873,7.0,7.0,1
0,27.0,43185.0,Healthcare,0,6.0,6.0,8.0,7.0,8.0,5.503191180736873,7.0,7.0,1
0,27.0,43185.0,Healthcare,0,4.0,7.173581213307241,7.370031380753138,6.0,8.0,7.0,7.0,6.0,1
0,27.0,43185.0,Healthcare,1,8.0,7.173581213307241,7.370031380753138,7.0,8.0,8.0,8.0,7.0,1
0,27.0,43185.0,Healthcare,0,6.0,8.0,7.370031380753138,8.0,8.0,8.0,7.0,6.0,1
0,27.0,43185.0,Healthcare,0,8.0,7.0,7.0,6.412024232846043,6.7824285122254455,2.0,6.0,4.0,1
0,25.0,23152.0,Social Work,0,7.0,8.0,9.0,6.0,8.0,5.0,6.0,4.0,1
0,25.0,23152.0,Social Work,0,5.0,8.0,8.0,6.0,8.0,5.0,7.0,3.0,1
0,25.0,23152.0,Social Work,0,6.0,7.0,8.0,7.0,9.0,7.0,7.0,5.0,1
0,25.0,23152.0,Social Work,0,4.0,5.0,10.0,4.0,10.0,4.0,4.0,5.0,1
0,25.0,23152.0,Social Work,0,6.0,7.0,9.0,7.0,9.0,3.0,5.0,4.0,1
0,25.0,23152.0,Social Work,0,6.0,8.0,7.0,5.0,8.0,7.0,7.0,5.0,1
0,25.0,23152.0,Social Work,0,7.0,8.0,8.0,6.0,10.0,6.0,8.0,7.0,1
0,25.0,23152.0,Social Work,0,3.0,8.0,9.0,8.0,10.0,5.0,8.0,4.0,1
0,25.0,23152.0,Social Work,0,7.0,8.0,8.0,8.0,6.0,6.0,7.0,6.0,1
0,25.0,23152.0,Social Work,0,8.0,8.0,9.0,8.0,9.0,8.0,9.0,8.0,1
0,25.0,23152.0,Social Work,0,9.0,8.0,9.0,8.0,10.0,7.0,8.0,7.0,1
0,25.0,23152.0,Social Work,0,6.0,5.0,8.0,7.0,10.0,8.0,6.0,7.0,1
0,25.0,23152.0,Social Work,0,5.0,4.0,7.0,5.0,9.0,7.0,5.0,4.0,1
0,25.0,23152.0,Social Work,0,7.0,8.0,9.0,7.0,8.0,5.0,7.0,7.0,1
0,25.0,23152.0,Social Work,0,5.0,8.0,8.0,6.0,9.0,6.0,6.0,7.0,1
0,25.0,23152.0,Social Work,0,7.0,7.0,7.0,8.0,8.0,6.0,7.0,5.0,1
0,23.0,43664.0,Technology,0,2.0,5.0,5.0,3.0,5.0,2.0,2.0,2.0,1
0,23.0,43664.0,Technology,0,2.0,5.0,5.0,3.0,5.0,2.0,2.0,2.0,1
0,23.0,43664.0,Technology,0,2.0,5.0,5.0,3.0,7.0,3.0,3.0,2.0,1
0,23.0,43664.0,Technology,0,2.0,6.0,7.0,1.0,7.0,2.0,2.0,3.0,1
0,23.0,43664.0,Technology,0,3.0,8.0,7.0,6.0,6.0,4.0,5.0,4.0,1
0,23.0,43664.0,Technology,0,4.0,7.0,6.0,1.0,4.0,3.0,2.0,2.0,1
0,23.0,43664.0,Technology,0,7.0,4.0,5.0,6.0,5.0,4.0,6.0,5.0,1
0,23.0,43664.0,Technology,0,3.0,7.0,6.0,4.0,6.0,2.0,2.0,2.0,1
0,23.0,43664.0,Technology,0,6.0,5.0,5.0,7.0,6.0,3.0,4.0,4.0,1
0,23.0,43664.0,Technology,0,5.0,8.0,8.0,7.0,7.0,6.0,5.0,5.0,1
0,23.0,43664.0,Technology,0,7.0,6.0,6.0,7.0,6.0,6.0,8.0,5.0,1
